"DateTime","4RH","1RV","2RV","3RH","Series 5","Series 6","Series 7"
"2025-06-17 10:46:00",0.31122,0.95497,4.10254,0.26033,,,
"2025-06-17 11:46:00",0.30747,0.85582,3.6617,0.25303,,,
"2025-06-17 12:46:00",0.2796,0.82977,4.0056,0.23791,,,
"2025-06-17 13:46:00",0.30784,0.84996,4.0597,0.2665,,,
"2025-06-17 14:46:00",0.28821,0.93103,4.09586,0.28234,,,
"2025-06-17 15:46:00",0.29034,0.79276,3.58968,0.27647,,,
"2025-06-17 16:46:00",0.28689,0.8538,3.42415,0.29076,,,
"2025-06-17 17:46:00",0.28757,0.88466,3.83697,0.2797,,,
"2025-06-17 18:46:00",0.31411,0.85511,3.571,0.27521,,,
"2025-06-17 19:46:00",0.35031,0.96303,3.24937,0.27864,,,
"2025-06-17 20:46:00",0.31425,0.93282,3.68244,0.278,,,
"2025-06-17 21:46:00",0.36656,0.9713,3.90849,0.27236,,,
"2025-06-17 22:46:00",0.37832,1.03656,3.33752,0.30203,,,
"2025-06-17 23:46:00",0.35102,0.94733,3.8595,0.29005,,,
"2025-06-18 00:46:00",0.34192,0.94703,3.55595,0.27925,,,
"2025-06-18 01:46:00",0.34071,0.76918,3.76705,0.28834,,,
"2025-06-18 02:46:00",0.33498,0.90408,4.0129,0.28434,,,
"2025-06-18 03:46:00",0.35935,0.87325,3.62965,0.27509,,,
"2025-06-18 04:46:00",0.35884,0.94335,3.73944,0.2558,,,
"2025-06-18 05:46:00",0.33165,0.99274,3.32887,0.28967,,,
"2025-06-18 06:46:00",0.31897,0.89985,3.7441,0.27172,,,
"2025-06-18 07:46:00",0.33152,0.98607,3.40875,0.2742,,,
"2025-06-18 08:46:00",0.33223,0.89216,3.19983,0.26967,,,
"2025-06-18 09:46:00",0.32013,0.98849,3.69256,0.26323,,,
"2025-06-18 10:46:00",0.32459,0.8288,3.64686,0.26586,,,
"2025-06-18 11:46:00",0.33596,0.98757,3.90266,0.24755,,,
"2025-06-18 12:46:00",0.31931,1.00102,3.61543,0.25487,,,
"2025-06-18 13:46:00",0.32116,0.9972,3.80664,0.28169,,,
"2025-06-18 14:46:00",0.3089,1.16343,3.78995,0.25725,,,
"2025-06-18 15:46:00",0.34219,0.94118,3.60134,0.26794,,,
"2025-06-18 16:46:00",0.37423,1.14018,3.78036,0.28964,,,
"2025-06-18 17:46:00",0.36767,0.95329,3.64148,0.24133,,,
"2025-06-18 18:46:00",0.38458,0.88236,4.08078,0.25387,,,
"2025-06-18 19:46:00",0.3252,1.0664,3.59677,0.26786,,,
"2025-06-18 20:46:00",0.36473,1.16493,4.22533,0.26615,,,
"2025-06-18 21:46:00",0.32493,0.94584,4.23721,0.27158,,,
"2025-06-18 22:46:00",0.33022,1.07615,3.73461,0.23866,,,
"2025-06-18 23:46:00",0.33106,0.93468,3.91732,0.26999,,,
"2025-06-19 00:46:00",0.31868,1.3873,4.36663,0.25455,,,
"2025-06-19 01:46:00",0.2801,1.16428,4.03995,0.25596,,,
"2025-06-19 02:46:00",0.30891,1.08755,3.9857,0.25529,,,
"2025-06-19 03:46:00",0.30432,1.1932,3.8747,0.26247,,,
