DateTime,Part-Name,acceleration,temperature,vibration,Part-T,Part-V,Part-O
2026-04-19 17:48:00,1RV,3.40338,3.40338,3.40338,3.40338,3.40338,3.40338
2026-04-19 17:48:00,2RH,0.24229,0.24229,0.24229,0.24229,0.24229,0.24229
2026-04-19 17:48:00,3RH,0.32514,0.32514,0.32514,0.32514,0.32514,0.32514
2026-04-19 17:48:00,4RH,0.2615,0.2615,0.2615,0.2615,0.2615,0.2615
2026-04-19 18:48:00,1RV,3.06339,3.06339,3.06339,3.06339,3.06339,3.06339
2026-04-19 18:48:00,2RH,0.23288,0.23288,0.23288,0.23288,0.23288,0.23288
2026-04-19 18:48:00,3RH,0.38393,0.38393,0.38393,0.38393,0.38393,0.38393
2026-04-19 18:48:00,4RH,0.27255,0.27255,0.27255,0.27255,0.27255,0.27255
2026-04-19 19:48:00,1RV,3.23503,3.23503,3.23503,3.23503,3.23503,3.23503
2026-04-19 19:48:00,2RH,0.23432,0.23432,0.23432,0.23432,0.23432,0.23432
2026-04-19 19:48:00,3RH,0.39707,0.39707,0.39707,0.39707,0.39707,0.39707
2026-04-19 19:48:00,4RH,0.30031,0.30031,0.30031,0.30031,0.30031,0.30031
2026-04-19 20:48:00,1RV,5.59416,5.59416,5.59416,5.59416,5.59416,5.59416
2026-04-19 20:48:00,2RH,0.22999,0.22999,0.22999,0.22999,0.22999,0.22999
2026-04-19 20:48:00,3RH,0.40054,0.40054,0.40054,0.40054,0.40054,0.40054
2026-04-19 20:48:00,4RH,0.31497,0.31497,0.31497,0.31497,0.31497,0.31497
2026-04-19 21:48:00,1RV,2.6962,2.6962,2.6962,2.6962,2.6962,2.6962
2026-04-19 21:48:00,2RH,0.22946,0.22946,0.22946,0.22946,0.22946,0.22946
2026-04-19 21:48:00,3RH,0.4087,0.4087,0.4087,0.4087,0.4087,0.4087
2026-04-19 21:48:00,4RH,0.31429,0.31429,0.31429,0.31429,0.31429,0.31429
2026-04-19 22:48:00,1RV,2.91527,2.91527,2.91527,2.91527,2.91527,2.91527
2026-04-19 22:48:00,2RH,0.22681,0.22681,0.22681,0.22681,0.22681,0.22681
2026-04-19 22:48:00,3RH,0.41127,0.41127,0.41127,0.41127,0.41127,0.41127
2026-04-19 22:48:00,4RH,0.30513,0.30513,0.30513,0.30513,0.30513,0.30513
2026-04-19 23:48:00,1RV,2.42299,2.42299,2.42299,2.42299,2.42299,2.42299
2026-04-19 23:48:00,2RH,0.22801,0.22801,0.22801,0.22801,0.22801,0.22801
2026-04-19 23:48:00,3RH,0.42116,0.42116,0.42116,0.42116,0.42116,0.42116
2026-04-19 23:48:00,4RH,0.28199,0.28199,0.28199,0.28199,0.28199,0.28199
2026-04-20 00:48:00,1RV,2.56058,2.56058,2.56058,2.56058,2.56058,2.56058
2026-04-20 00:48:00,2RH,0.22924,0.22924,0.22924,0.22924,0.22924,0.22924
2026-04-20 00:48:00,3RH,0.41076,0.41076,0.41076,0.41076,0.41076,0.41076
2026-04-20 00:48:00,4RH,0.29668,0.29668,0.29668,0.29668,0.29668,0.29668
2026-04-20 01:48:00,1RV,2.94272,2.94272,2.94272,2.94272,2.94272,2.94272
2026-04-20 01:48:00,2RH,0.23006,0.23006,0.23006,0.23006,0.23006,0.23006
2026-04-20 01:48:00,3RH,0.42571,0.42571,0.42571,0.42571,0.42571,0.42571
2026-04-20 01:48:00,4RH,0.30621,0.30621,0.30621,0.30621,0.30621,0.30621
2026-04-20 02:48:00,1RV,2.57715,2.57715,2.57715,2.57715,2.57715,2.57715
2026-04-20 02:48:00,2RH,0.22769,0.22769,0.22769,0.22769,0.22769,0.22769
2026-04-20 02:48:00,3RH,0.42081,0.42081,0.42081,0.42081,0.42081,0.42081
2026-04-20 02:48:00,4RH,0.30101,0.30101,0.30101,0.30101,0.30101,0.30101
2026-04-20 03:48:00,1RV,2.46376,2.46376,2.46376,2.46376,2.46376,2.46376
2026-04-20 03:48:00,2RH,0.22892,0.22892,0.22892,0.22892,0.22892,0.22892
2026-04-20 03:48:00,3RH,0.4233,0.4233,0.4233,0.4233,0.4233,0.4233
2026-04-20 03:48:00,4RH,0.31677,0.31677,0.31677,0.31677,0.31677,0.31677
2026-04-20 04:48:00,1RV,2.24791,2.24791,2.24791,2.24791,2.24791,2.24791
2026-04-20 04:48:00,2RH,0.22916,0.22916,0.22916,0.22916,0.22916,0.22916
2026-04-20 04:48:00,3RH,0.40917,0.40917,0.40917,0.40917,0.40917,0.40917
2026-04-20 04:48:00,4RH,0.32136,0.32136,0.32136,0.32136,0.32136,0.32136
2026-04-20 05:48:00,1RV,2.81059,2.81059,2.81059,2.81059,2.81059,2.81059
2026-04-20 05:48:00,2RH,0.22799,0.22799,0.22799,0.22799,0.22799,0.22799
2026-04-20 05:48:00,3RH,0.3865,0.3865,0.3865,0.3865,0.3865,0.3865
2026-04-20 05:48:00,4RH,0.33728,0.33728,0.33728,0.33728,0.33728,0.33728
2026-04-20 06:48:00,1RV,2.53216,2.53216,2.53216,2.53216,2.53216,2.53216
2026-04-20 06:48:00,2RH,0.22953,0.22953,0.22953,0.22953,0.22953,0.22953
2026-04-20 06:48:00,3RH,0.41164,0.41164,0.41164,0.41164,0.41164,0.41164
2026-04-20 06:48:00,4RH,0.34073,0.34073,0.34073,0.34073,0.34073,0.34073
2026-04-20 07:48:00,1RV,2.84159,2.84159,2.84159,2.84159,2.84159,2.84159
2026-04-20 07:48:00,2RH,0.22602,0.22602,0.22602,0.22602,0.22602,0.22602
2026-04-20 07:48:00,3RH,0.36615,0.36615,0.36615,0.36615,0.36615,0.36615
2026-04-20 07:48:00,4RH,0.35063,0.35063,0.35063,0.35063,0.35063,0.35063
2026-04-20 08:48:00,1RV,2.28796,2.28796,2.28796,2.28796,2.28796,2.28796
2026-04-20 08:48:00,2RH,0.22471,0.22471,0.22471,0.22471,0.22471,0.22471
2026-04-20 08:48:00,3RH,0.38386,0.38386,0.38386,0.38386,0.38386,0.38386
2026-04-20 08:48:00,4RH,0.34674,0.34674,0.34674,0.34674,0.34674,0.34674
2026-04-20 09:48:00,1RV,2.40176,2.40176,2.40176,2.40176,2.40176,2.40176
2026-04-20 09:48:00,2RH,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286
2026-04-20 09:48:00,3RH,0.41367,0.41367,0.41367,0.41367,0.41367,0.41367
2026-04-20 09:48:00,4RH,0.33337,0.33337,0.33337,0.33337,0.33337,0.33337
2026-04-20 10:48:00,1RV,2.5525,2.5525,2.5525,2.5525,2.5525,2.5525
2026-04-20 10:48:00,2RH,0.23386,0.23386,0.23386,0.23386,0.23386,0.23386
2026-04-20 10:48:00,3RH,0.41868,0.41868,0.41868,0.41868,0.41868,0.41868
2026-04-20 10:48:00,4RH,0.30434,0.30434,0.30434,0.30434,0.30434,0.30434
