DateTime,1RV-T,2RH-T,3RH-T,4RH-T
2026-04-30 23:48:00,0.23725,0.0966,0.54914,0.32442
2026-05-01 00:48:00,0.25068,0.11733,0.54403,0.33099
2026-05-01 01:48:00,0.23998,0.09797,0.55125,0.34484
2026-05-01 02:48:00,0.24168,0.11417,0.54062,0.32734
2026-05-01 03:48:00,0.23965,0.09558,0.56422,0.31847
2026-05-01 04:48:00,0.23975,0.09795,0.55913,0.33418
2026-05-01 05:48:00,0.23456,0.10791,0.55899,0.3524
2026-05-01 06:48:00,0.23645,0.10214,0.55782,0.33795
2026-05-01 07:48:00,0.22591,0.10037,0.54249,0.315
2026-05-01 08:48:00,0.2271,0.08414,0.56251,0.30575
2026-05-01 09:48:00,0.22987,0.10292,0.54384,0.27912
2026-05-01 10:48:00,0.22028,0.09645,0.54666,0.24722
2026-05-01 11:48:00,0.21209,0.09165,0.55433,0.25832
2026-05-01 12:48:00,0.21188,0.09851,0.54523,0.24908
2026-05-01 13:48:00,0.22158,0.11473,0.5543,0.24649
2026-05-01 14:48:00,0.21165,0.09199,0.54969,0.24769
2026-05-01 15:48:00,0.21729,0.09347,0.55454,0.2513
2026-05-01 16:48:00,0.22395,0.08881,0.54726,0.2478
2026-05-01 17:48:00,0.2366,0.10253,0.56126,0.25547
2026-05-01 18:48:00,0.2297,0.08981,0.57181,0.25241
2026-05-01 19:48:00,0.24932,0.12588,0.54901,0.24188
2026-05-01 20:48:00,0.25233,0.11655,0.52241,0.27323
2026-05-01 21:48:00,0.24433,0.09539,0.54779,0.30679
2026-05-01 22:48:00,0.39536,0.15362,0.55213,0.29999
2026-05-01 23:48:00,0.27128,0.12212,0.53619,0.30968
2026-05-02 00:48:00,0.28377,0.11087,0.53605,0.31454
2026-05-02 01:48:00,0.2541,0.10255,0.54117,0.31121
2026-05-02 02:48:00,0.23673,0.10958,0.5444,0.31286
2026-05-02 03:48:00,0.24142,0.10452,0.55155,0.32234
2026-05-02 04:48:00,0.24236,0.09691,0.54804,0.31883
2026-05-02 05:48:00,0.24086,0.0998,0.5536,0.32434
2026-05-02 06:48:00,0.24811,0.09981,0.54047,0.32042
2026-05-02 07:48:00,0.23864,0.09831,0.54015,0.32051
2026-05-02 08:48:00,0.2322,0.10311,0.54136,0.27619
2026-05-02 09:48:00,0.22011,0.09253,0.5312,0.27232
2026-05-02 10:48:00,0.23149,0.09628,0.52914,0.31844
2026-05-02 11:48:00,0.22999,0.10409,0.53914,0.29326
2026-05-02 12:48:00,0.22275,0.09335,0.52728,0.27784
2026-05-02 13:48:00,0.2319,0.10944,0.5417,0.28337
2026-05-02 14:48:00,0.2248,0.10083,0.55214,0.2697
2026-05-02 15:48:00,0.24456,0.10769,0.52682,0.25586
2026-05-02 16:48:00,0.23507,0.10042,0.52968,0.2659
2026-05-02 17:48:00,0.24458,0.09906,0.54548,0.28812
2026-05-02 18:48:00,0.25198,0.10887,0.54364,0.30196
2026-05-02 19:48:00,0.26491,0.11642,0.55212,0.32442
2026-05-02 20:48:00,0.2669,0.11987,0.53644,0.29631
2026-05-02 21:48:00,0.26499,0.10249,0.54013,0.29274
2026-05-02 22:48:00,0.25992,0.10946,0.52339,0.26852
2026-05-02 23:48:00,0.26629,0.10937,0.56119,0.25021
2026-05-03 00:48:00,0.26858,0.105,0.55559,0.25111
2026-05-03 01:48:00,0.2642,0.09365,0.57136,0.25314
2026-05-03 02:48:00,0.27074,0.09939,0.57498,0.24316
2026-05-03 03:48:00,0.2704,0.11632,0.52389,0.24536
2026-05-03 04:48:00,0.27613,0.09822,0.54895,0.26122
2026-05-03 05:48:00,0.27021,0.10309,0.54248,0.24363
2026-05-03 06:48:00,0.27094,0.09015,0.56434,0.26713
2026-05-03 07:48:00,0.27348,0.09533,0.55087,0.28224
2026-05-03 08:48:00,0.24805,0.07781,0.55346,0.33475
2026-05-03 09:48:00,0.25673,0.10881,0.49972,0.28244
2026-05-03 10:48:00,0.26064,0.10377,0.5098,0.24304
2026-05-03 11:48:00,0.2714,0.11519,0.52855,0.3319
2026-05-03 12:48:00,0.26489,0.09469,0.53229,0.34227
2026-05-03 13:48:00,0.26551,0.0952,0.56376,0.33597
2026-05-03 14:48:00,0.27131,0.09976,0.57304,0.33209
2026-05-03 15:48:00,0.26809,0.09621,0.55563,0.31997
2026-05-03 16:48:00,0.26477,0.10428,0.58873,0.35007
2026-05-03 17:48:00,0.25783,0.08977,0.5715,0.31888
2026-05-03 18:48:00,0.27894,0.11963,0.58654,0.33233
2026-05-03 19:48:00,0.26792,0.11032,0.58499,0.31941
2026-05-03 20:48:00,0.26699,0.10129,0.65168,0.31841
2026-05-03 21:48:00,0.26426,0.09096,0.64437,0.28109
2026-05-03 22:48:00,0.27055,0.0954,0.63576,0.27936
2026-05-03 23:48:00,0.26943,0.11162,0.55492,0.32025
2026-05-04 00:48:00,0.26891,0.11417,0.54292,0.29965
2026-05-04 01:48:00,0.26218,0.09641,0.48162,0.28623
2026-05-04 02:48:00,0.27951,0.10626,0.51486,0.26843
2026-05-04 03:48:00,0.2794,0.11092,0.52492,0.26273
2026-05-04 04:48:00,0.27705,0.10408,0.47845,0.26128
2026-05-04 05:48:00,0.26996,0.0918,0.47779,0.27537
2026-05-04 06:48:00,0.27989,0.09843,0.52133,0.3187
2026-05-04 07:48:00,0.2792,0.09392,0.47111,0.32546
2026-05-04 08:48:00,0.26191,0.08945,0.49662,0.29075
2026-05-04 09:48:00,0.26525,0.09662,0.48573,0.27583
2026-05-04 10:48:00,0.26673,0.08809,0.51585,0.27355
2026-05-04 11:48:00,0.26576,0.09799,0.00253,0.00305
2026-05-04 12:48:00,0.41503,0.11493,0.00259,0.00327
2026-05-04 13:48:00,0.24095,0.1105,0.68528,0.29859
2026-05-04 14:48:00,0.24169,0.11017,0.77081,0.30297
2026-05-04 15:48:00,0.23987,0.12089,0.92628,0.31612
2026-05-04 16:48:00,0.22744,0.09027,0.75268,0.33554
2026-05-04 17:48:00,0.23082,0.10554,0.79501,0.32296
2026-05-04 18:48:00,0.23706,0.09419,0.65756,0.33062
2026-05-04 19:48:00,0.27687,0.10915,0.54791,0.34749
2026-05-04 20:48:00,0.28591,0.11788,0.55819,0.35058
2026-05-04 21:48:00,0.26712,0.08116,0.67366,0.34581
2026-05-04 22:48:00,0.28839,0.10741,0.6815,0.33611
2026-05-04 23:48:00,0.28809,0.1032,0.71046,0.34866
2026-05-05 00:48:00,0.29752,0.10866,0.66272,0.35918
2026-05-05 01:48:00,0.28824,0.0875,0.65028,0.34456
2026-05-05 02:48:00,0.29501,0.10311,0.65205,0.3195
2026-05-05 03:48:00,0.29802,0.10975,0.66107,0.34504
2026-05-05 04:48:00,0.2951,0.08923,0.64113,0.32873
2026-05-05 05:48:00,0.30463,0.11321,0.65806,0.33907
2026-05-05 06:48:00,0.30713,0.11496,0.6603,0.33848
2026-05-05 07:48:00,0.30286,0.10206,0.65826,0.36158
2026-05-05 08:48:00,0.28845,0.11464,0.65738,0.3397
2026-05-05 09:48:00,0.28394,0.09894,0.65528,0.33038
2026-05-05 10:48:00,0.28452,0.09923,0.66251,0.32808
2026-05-05 11:48:00,0.29294,0.10845,0.67167,0.33015
2026-05-05 12:48:00,0.33429,0.09877,0.66986,0.34794
2026-05-05 13:48:00,0.32362,0.09412,0.66066,0.3369
2026-05-05 14:48:00,0.31612,0.11229,0.66876,0.31953
2026-05-05 15:48:00,0.31485,0.12064,0.66008,0.34021
2026-05-05 16:48:00,0.29833,0.11124,0.65525,0.34672
2026-05-05 17:48:00,0.28685,0.10346,0.66848,0.35182
2026-05-05 18:48:00,0.30146,0.0876,0.6605,0.34669
2026-05-05 19:48:00,0.30702,0.11362,0.65078,0.35845
2026-05-05 20:48:00,0.21282,0.11549,0.6456,0.35391
2026-05-05 21:48:00,0.20001,0.09456,0.64001,0.32959
2026-05-05 22:48:00,0.21725,0.11494,0.63683,0.31439
2026-05-05 23:48:00,0.21665,0.12472,0.62906,0.35625
2026-05-06 00:48:00,0.19664,0.09079,0.62358,0.35332
2026-05-06 01:48:00,0.20664,0.10438,0.59326,0.36408
2026-05-06 02:48:00,0.21029,0.11153,0.62428,0.34184
2026-05-06 03:48:00,0.19176,0.09134,0.63082,0.30936
2026-05-06 04:48:00,0.20781,0.10354,0.63095,0.32088
2026-05-06 05:48:00,0.1947,0.09425,0.63126,0.34541
2026-05-06 06:48:00,0.20328,0.10717,0.60492,0.29223
2026-05-06 07:48:00,0.20106,0.10565,0.62604,0.39385
2026-05-06 08:48:00,0.18032,0.09569,0.57448,0.27903
2026-05-06 09:48:00,0.17406,0.09908,0.59249,0.27356
2026-05-06 10:48:00,0.16944,0.09058,0.60014,0.2917
2026-05-06 11:48:00,0.17319,0.10216,0.00148,0.00147
2026-05-06 12:48:00,0.17424,0.10599,0.00138,0.00135
2026-05-06 13:48:00,0.16419,0.09219,0.00142,0.00135
2026-05-06 14:48:00,0.166,0.10051,0.00135,0.0013
2026-05-06 15:48:00,0.16688,0.10201,0.00138,0.0013
2026-05-06 16:48:00,0.15502,0.0796,0.00137,0.00131
2026-05-06 17:48:00,0.16976,0.09699,0.14781,0.24469
2026-05-06 18:48:00,0.15881,0.08279,0.42666,0.20981
2026-05-06 19:48:00,0.18054,0.09088,0.44313,0.27384
2026-05-06 20:48:00,0.18494,0.08683,0.43988,0.31741
2026-05-06 21:48:00,0.1884,0.10198,0.41772,0.3044
2026-05-06 22:48:00,0.18707,0.09137,0.41494,0.31789
2026-05-06 23:48:00,0.20629,0.11491,0.38104,0.31689
2026-05-07 00:48:00,0.20043,0.11115,0.41704,0.29558
2026-05-07 01:48:00,0.19774,0.10314,0.40459,0.30273
2026-05-07 02:48:00,0.191,0.09464,0.43163,0.31558
2026-05-07 03:48:00,0.20308,0.11343,0.44646,0.33077
2026-05-07 04:48:00,0.19832,0.10186,0.46928,0.32897
2026-05-07 05:48:00,0.20098,0.1042,0.42831,0.33652
2026-05-07 06:48:00,0.18981,0.09181,0.45662,0.34124
2026-05-07 07:48:00,0.18738,0.08226,0.51421,0.35624
2026-05-07 08:48:00,0.18117,0.10681,0.58226,0.34435
2026-05-07 09:48:00,0.17903,0.09383,0.59607,0.32491
2026-05-07 10:48:00,0.18561,0.10002,0.63279,0.29484
2026-05-07 11:48:00,0.18474,0.11065,0.60074,0.29126
2026-05-07 12:48:00,0.1872,0.10846,0.62947,0.32098
2026-05-07 13:48:00,0.18818,0.11108,0.60657,0.30616
2026-05-07 14:48:00,0.19154,0.11833,0.60184,0.33159
2026-05-07 15:48:00,0.18859,0.11412,0.60547,0.31324
2026-05-07 16:48:00,0.18093,0.10742,0.61291,0.31865
2026-05-07 17:48:00,0.19117,0.11173,0.60144,0.34908
2026-05-07 18:48:00,0.18124,0.10037,0.59173,0.28626
2026-05-07 19:48:00,0.22397,0.12762,0.58935,0.30579
2026-05-07 20:48:00,0.18854,0.09115,0.59457,0.3116
2026-05-07 21:48:00,0.21074,0.11415,0.60091,0.30024
2026-05-07 22:48:00,0.20023,0.10633,0.60966,0.24461
2026-05-07 23:48:00,0.18956,0.09282,0.62141,0.24025
2026-05-08 00:48:00,0.19856,0.1129,0.64327,0.24022
2026-05-08 01:48:00,0.20057,0.10841,0.64014,0.23468
2026-05-08 02:48:00,0.20831,0.11837,0.66052,0.2408
2026-05-08 03:48:00,0.20441,0.11371,0.64682,0.23386
2026-05-08 04:48:00,0.19606,0.08842,0.63632,0.23467
2026-05-08 05:48:00,0.2064,0.10886,0.64171,0.23718
2026-05-08 06:48:00,0.20888,0.11138,0.66711,0.24081
2026-05-08 07:48:00,0.20158,0.09945,0.65373,0.23741
2026-05-08 08:48:00,0.1902,0.10133,0.66142,0.23482
2026-05-08 09:48:00,0.19155,0.09964,0.64321,0.23003
2026-05-08 10:48:00,0.19627,0.09103,0.59068,0.22457
2026-05-08 11:48:00,0.21954,0.11382,0.5911,0.22989
2026-05-08 12:48:00,0.1861,0.09356,0.59131,0.24281
2026-05-08 13:48:00,0.19844,0.11711,0.59658,0.23947
2026-05-08 14:48:00,0.20449,0.11229,0.58416,0.25878
2026-05-08 15:48:00,0.19729,0.12151,0.56988,0.24463
2026-05-08 16:48:00,0.19329,0.08589,0.57705,0.25796
2026-05-08 17:48:00,0.18479,0.10639,0.57008,0.25766
2026-05-08 18:48:00,0.2033,0.11807,0.57924,0.24501
2026-05-08 19:48:00,0.1844,0.10228,0.58362,0.2873
2026-05-08 20:48:00,0.19193,0.10679,0.58244,0.2865
2026-05-08 21:48:00,0.18605,0.10494,0.58302,0.30062
2026-05-08 22:48:00,0.18675,0.0988,0.59628,0.28253
2026-05-08 23:48:00,0.18112,0.08903,0.57592,0.28284
2026-05-09 00:48:00,0.202,0.10865,0.58384,0.30515
2026-05-09 01:48:00,0.20056,0.10091,0.61156,0.29268
2026-05-09 02:48:00,0.18475,0.08937,0.59938,0.30592
2026-05-09 03:48:00,0.20371,0.10909,0.60363,0.32703
2026-05-09 04:48:00,0.17944,0.08904,0.59555,0.31365
2026-05-09 05:48:00,0.21489,0.12197,0.60823,0.29804
2026-05-09 06:48:00,0.19983,0.07792,0.60096,0.29923
2026-05-09 07:48:00,0.20283,0.10295,0.55642,0.29662
2026-05-09 08:48:00,0.18664,0.08663,0.57099,0.31894
2026-05-09 09:48:00,0.19703,0.10133,0.57039,0.29469
2026-05-09 10:48:00,0.21433,0.10853,0.54744,0.27203
2026-05-09 11:48:00,0.18853,0.10147,0.5576,0.26038
2026-05-09 12:48:00,0.19067,0.10723,0.56197,0.26397
2026-05-09 13:48:00,0.19389,0.1007,0.57251,0.29973
2026-05-09 14:48:00,0.18669,0.09777,0.56825,0.33178
2026-05-09 15:48:00,0.19445,0.10963,0.58415,0.31655
2026-05-09 16:48:00,0.19661,0.11417,0.5894,0.32967
2026-05-09 17:48:00,0.20762,0.10269,0.58023,0.33798
2026-05-09 18:48:00,0.21117,0.10928,0.60246,0.30651
2026-05-09 19:48:00,0.19624,0.11728,0.56864,0.30843
2026-05-09 20:48:00,0.2096,0.12047,0.56176,0.28619
2026-05-09 21:48:00,0.20579,0.08932,0.58363,0.2902
2026-05-09 22:48:00,0.20146,0.1028,0.59104,0.28417
2026-05-09 23:48:00,0.20623,0.11378,0.59226,0.29614
2026-05-10 00:48:00,0.22027,0.11388,0.5595,0.2981
2026-05-10 01:48:00,0.20212,0.10131,0.54465,0.30212
2026-05-10 02:48:00,0.21046,0.09577,0.5546,0.29633
2026-05-10 03:48:00,0.21397,0.10397,0.52493,0.30448
2026-05-10 04:48:00,0.20959,0.09373,0.53321,0.31545
2026-05-10 05:48:00,0.21204,0.10158,0.53332,0.29695
2026-05-10 06:48:00,0.21859,0.10282,0.53657,0.28036
2026-05-10 07:48:00,0.21485,0.09386,0.54366,0.31208
2026-05-10 08:48:00,0.20571,0.11615,0.54936,0.30451
2026-05-10 09:48:00,0.19428,0.10073,0.53516,0.26749
2026-05-10 10:48:00,0.19436,0.09907,0.5517,0.28678
2026-05-10 11:48:00,0.20458,0.11786,0.55452,0.2944
2026-05-10 12:48:00,0.20881,0.11944,0.55141,0.29534
2026-05-10 13:48:00,0.19575,0.09485,0.56129,0.30143
2026-05-10 14:48:00,0.20049,0.11248,0.55968,0.32386
