DateTime,2RV-V,3RV-V
2026-05-10 08:34:00,1.79739,0.71423
2026-05-10 09:34:00,2.14132,0.79311
2026-05-10 10:34:00,1.92838,0.73001
2026-05-10 11:34:00,1.4644,0.6052
2026-05-10 12:34:00,2.0864,0.83775
2026-05-10 13:34:00,1.50568,0.60081
2026-05-10 14:34:00,1.64909,0.65577
2026-05-10 15:34:00,1.82964,0.71467
2026-05-10 16:34:00,1.45147,0.60486
2026-05-10 17:34:00,1.78051,0.67845
2026-05-10 18:34:00,1.87135,0.71182
2026-05-10 19:34:00,2.18971,0.80981
2026-05-10 20:34:00,1.85613,0.70798
2026-05-10 21:34:00,1.63034,0.69742
2026-05-10 22:34:00,1.61458,0.70011
2026-05-10 23:34:00,1.90757,0.7558
2026-05-11 00:34:00,2.30897,0.85473
2026-05-11 01:34:00,1.96805,0.75672
2026-05-11 02:34:00,2.14891,0.82752
2026-05-11 03:34:00,1.65055,0.64453
2026-05-11 04:34:00,1.60937,0.64887
2026-05-11 05:34:00,1.70817,0.67104
2026-05-11 06:34:00,2.39914,0.89816
2026-05-11 07:34:00,1.76516,0.71085
2026-05-11 08:34:00,1.68173,0.67056
2026-05-11 09:34:00,1.93713,0.72679
2026-05-11 10:34:00,1.49566,0.59826
2026-05-11 11:34:00,1.68707,0.66562
2026-05-11 12:34:00,2.19118,0.83912
2026-05-11 13:34:00,1.50448,0.63521
2026-05-11 14:34:00,1.51278,0.62343
2026-05-11 15:34:00,1.50756,0.59746
2026-05-11 16:34:00,1.75123,0.69106
2026-05-11 17:34:00,1.33307,0.55569
2026-05-11 18:34:00,1.84609,0.72544
2026-05-11 19:34:00,2.06645,0.79913
2026-05-11 20:34:00,2.01733,0.76027
2026-05-11 21:34:00,2.04633,0.81707
2026-05-11 22:34:00,2.30628,0.84699
2026-05-11 23:34:00,1.77803,0.68719
2026-05-12 00:34:00,1.6991,0.70861
2026-05-12 01:34:00,2.63247,0.93307
2026-05-12 02:34:00,1.64692,0.66573
2026-05-12 03:34:00,2.30951,0.83686
2026-05-12 04:34:00,1.78326,0.69603
2026-05-12 05:34:00,1.7819,0.69171
2026-05-12 06:34:00,1.5411,0.61432
2026-05-12 07:34:00,2.21696,0.8193
2026-05-12 08:34:00,2.27912,0.82215
2026-05-12 09:34:00,2.0645,0.78312
2026-05-12 10:34:00,1.73008,0.69127
2026-05-12 11:34:00,2.62495,0.97586
2026-05-12 12:34:00,1.92504,0.73829
2026-05-12 13:34:00,1.65578,0.66352
2026-05-12 14:34:00,1.66322,0.66263
2026-05-12 15:34:00,1.73758,0.6882
2026-05-12 16:34:00,1.73134,0.69935
2026-05-12 17:34:00,1.80888,0.70678
2026-05-12 18:34:00,1.72101,0.66687
2026-05-12 19:34:00,2.45131,0.90959
2026-05-12 20:34:00,2.5168,0.90678
2026-05-12 21:34:00,1.6324,0.65982
2026-05-12 22:34:00,1.53244,0.62685
2026-05-12 23:34:00,1.49197,0.6359
2026-05-13 00:34:00,1.8419,0.71811
2026-05-13 01:34:00,1.936,0.73254
2026-05-13 02:34:00,2.36474,0.86713
2026-05-13 03:34:00,1.9444,0.72949
2026-05-13 04:34:00,1.35321,0.55955
2026-05-13 05:34:00,2.18571,0.80499
2026-05-13 06:34:00,1.93046,0.75406
2026-05-13 07:34:00,2.12624,0.82377
2026-05-13 08:34:00,1.53717,0.6488
2026-05-13 09:34:00,1.77087,0.68032
2026-05-13 10:34:00,1.94636,0.78886
2026-05-13 11:34:00,1.87445,0.73102
2026-05-13 12:34:00,1.70424,0.66569
2026-05-13 13:34:00,1.57668,0.61462
2026-05-13 14:34:00,1.65108,0.67721
2026-05-13 15:34:00,1.98068,0.75631
2026-05-13 16:34:00,1.80769,0.68625
2026-05-13 17:34:00,2.05842,0.77497
2026-05-13 18:34:00,2.0125,0.76571
2026-05-13 19:34:00,2.52418,0.91482
2026-05-13 20:34:00,2.25958,0.86486
2026-05-13 21:34:00,2.16131,0.84923
2026-05-13 22:34:00,2.30956,0.84808
2026-05-13 23:34:00,2.65518,0.99187
2026-05-14 00:34:00,2.59055,0.95017
2026-05-14 01:34:00,2.84417,1.03559
2026-05-14 02:34:00,2.10052,0.80043
2026-05-14 03:34:00,2.09719,0.82643
2026-05-14 04:34:00,2.36445,0.86637
2026-05-14 05:34:00,2.57498,0.92366
2026-05-14 06:34:00,1.84387,0.72977
2026-05-14 07:34:00,1.69523,0.6774
2026-05-14 08:34:00,1.97785,0.73533
2026-05-14 09:34:00,1.86216,0.71153
2026-05-14 10:34:00,1.79886,0.71476
2026-05-14 11:34:00,2.75272,1.01109
2026-05-14 12:34:00,2.02008,0.77314
2026-05-14 13:34:00,2.13955,0.82843
2026-05-14 14:34:00,1.68669,0.66719
2026-05-14 15:34:00,2.14816,0.82334
2026-05-14 16:34:00,1.60205,0.65988
2026-05-14 17:34:00,2.10954,0.82554
2026-05-14 18:34:00,2.2503,0.81762
2026-05-14 19:34:00,2.33762,0.87879
2026-05-14 20:34:00,1.88239,0.72625
2026-05-14 21:34:00,2.02671,0.76072
2026-05-14 22:34:00,2.53804,0.93659
2026-05-14 23:34:00,2.55724,0.95276
2026-05-15 00:34:00,1.81515,0.70367
2026-05-15 01:34:00,2.05567,0.81273
2026-05-15 02:34:00,1.89424,0.75336
2026-05-15 03:34:00,1.82289,0.71088
2026-05-15 04:34:00,2.30788,0.88758
2026-05-15 05:34:00,1.70004,0.67331
2026-05-15 06:34:00,3.63306,1.25927
2026-05-15 07:34:00,2.40791,0.87914
2026-05-15 08:34:00,2.20992,0.82125
2026-05-15 09:34:00,1.82285,0.71548
2026-05-15 10:34:00,2.59875,0.95057
2026-05-15 11:34:00,1.73313,0.67006
2026-05-15 12:34:00,2.42333,0.89477
2026-05-15 13:34:00,1.74417,0.70222
2026-05-15 14:34:00,1.85295,0.71531
2026-05-15 15:34:00,1.89377,0.73782
2026-05-15 16:34:00,1.8075,0.71274
2026-05-15 17:34:00,2.59982,0.95591
2026-05-15 18:34:00,2.17132,0.78535
2026-05-15 19:34:00,2.69843,0.97444
2026-05-15 20:34:00,2.59342,0.92828
2026-05-15 21:34:00,1.94643,0.73687
2026-05-15 22:34:00,2.15713,0.79856
2026-05-15 23:34:00,3.23824,1.13898
2026-05-16 00:34:00,2.63826,0.9716
2026-05-16 01:34:00,1.90747,0.76823
2026-05-16 02:34:00,2.49823,0.91397
2026-05-16 03:34:00,2.75683,0.99805
2026-05-16 04:34:00,2.39085,0.85672
2026-05-16 05:34:00,2.64658,0.97043
2026-05-16 06:34:00,2.71927,0.9707
2026-05-16 07:34:00,1.82577,0.70574
2026-05-16 08:34:00,3.08616,1.1241
2026-05-16 09:34:00,2.30093,0.82958
2026-05-16 10:34:00,2.28968,0.83711
2026-05-16 11:34:00,2.49438,0.91449
2026-05-16 12:34:00,1.97703,0.75989
2026-05-16 13:34:00,3.63616,1.30185
2026-05-16 14:34:00,1.83079,0.74457
2026-05-16 15:34:00,2.72798,0.99491
2026-05-16 16:34:00,2.42582,0.86945
2026-05-16 17:34:00,2.69,0.97282
2026-05-16 18:34:00,2.56348,0.93541
2026-05-16 19:34:00,2.80529,1.02707
2026-05-16 20:34:00,2.84648,1.02053
2026-05-16 21:34:00,2.79324,0.99349
2026-05-16 22:34:00,2.668,0.92996
2026-05-16 23:34:00,3.07203,1.08049
2026-05-17 00:34:00,1.98417,0.74451
2026-05-17 01:34:00,2.60745,0.95184
2026-05-17 02:34:00,3.10688,1.09837
2026-05-17 03:34:00,3.27903,1.1957
2026-05-17 04:34:00,2.52115,0.91903
2026-05-17 05:34:00,2.43663,0.89955
2026-05-17 06:34:00,3.00167,1.0701
