DateTime,Part-Name,acceleration,temperature,vibration,Part-T,Part-V,Part-O
2026-04-19 18:06:00,2RV,0.41058,0.41058,0.41058,0.41058,0.41058,0.41058
2026-04-19 18:06:00,3RV,0.53669,0.53669,0.53669,0.53669,0.53669,0.53669
2026-04-19 18:06:00,4RV,0.76953,0.76953,0.76953,0.76953,0.76953,0.76953
2026-04-19 18:06:00,9RV,0.09064,0.09064,0.09064,0.09064,0.09064,0.09064
2026-04-19 19:06:00,2RV,0.41058,0.41058,0.41058,0.41058,0.41058,0.41058
2026-04-19 19:06:00,3RV,0.50542,0.50542,0.50542,0.50542,0.50542,0.50542
2026-04-19 19:06:00,4RV,0.77166,0.77166,0.77166,0.77166,0.77166,0.77166
2026-04-19 19:06:00,9RV,0.09151,0.09151,0.09151,0.09151,0.09151,0.09151
2026-04-19 20:06:00,2RV,0.41197,0.41197,0.41197,0.41197,0.41197,0.41197
2026-04-19 20:06:00,3RV,0.49447,0.49447,0.49447,0.49447,0.49447,0.49447
2026-04-19 20:06:00,4RV,0.75369,0.75369,0.75369,0.75369,0.75369,0.75369
2026-04-19 20:06:00,9RV,0.09037,0.09037,0.09037,0.09037,0.09037,0.09037
2026-04-19 21:06:00,2RV,0.41295,0.41295,0.41295,0.41295,0.41295,0.41295
2026-04-19 21:06:00,3RV,0.49778,0.49778,0.49778,0.49778,0.49778,0.49778
2026-04-19 21:06:00,4RV,0.82287,0.82287,0.82287,0.82287,0.82287,0.82287
2026-04-19 21:06:00,9RV,0.09127,0.09127,0.09127,0.09127,0.09127,0.09127
2026-04-19 22:06:00,2RV,0.40727,0.40727,0.40727,0.40727,0.40727,0.40727
2026-04-19 22:06:00,3RV,0.48419,0.48419,0.48419,0.48419,0.48419,0.48419
2026-04-19 22:06:00,4RV,0.83634,0.83634,0.83634,0.83634,0.83634,0.83634
2026-04-19 22:06:00,9RV,0.08543,0.08543,0.08543,0.08543,0.08543,0.08543
2026-04-19 23:06:00,2RV,0.41103,0.41103,0.41103,0.41103,0.41103,0.41103
2026-04-19 23:06:00,3RV,0.47949,0.47949,0.47949,0.47949,0.47949,0.47949
2026-04-19 23:06:00,4RV,0.84264,0.84264,0.84264,0.84264,0.84264,0.84264
2026-04-19 23:06:00,9RV,0.08778,0.08778,0.08778,0.08778,0.08778,0.08778
2026-04-20 00:06:00,2RV,0.40916,0.40916,0.40916,0.40916,0.40916,0.40916
2026-04-20 00:06:00,3RV,0.46941,0.46941,0.46941,0.46941,0.46941,0.46941
2026-04-20 00:06:00,4RV,0.84783,0.84783,0.84783,0.84783,0.84783,0.84783
2026-04-20 00:06:00,9RV,0.08657,0.08657,0.08657,0.08657,0.08657,0.08657
2026-04-20 01:06:00,2RV,0.41167,0.41167,0.41167,0.41167,0.41167,0.41167
2026-04-20 01:06:00,3RV,0.47084,0.47084,0.47084,0.47084,0.47084,0.47084
2026-04-20 01:06:00,4RV,0.84419,0.84419,0.84419,0.84419,0.84419,0.84419
2026-04-20 01:06:00,9RV,0.08691,0.08691,0.08691,0.08691,0.08691,0.08691
2026-04-20 02:06:00,2RV,0.40884,0.40884,0.40884,0.40884,0.40884,0.40884
2026-04-20 02:06:00,3RV,0.48224,0.48224,0.48224,0.48224,0.48224,0.48224
2026-04-20 02:06:00,4RV,0.81551,0.81551,0.81551,0.81551,0.81551,0.81551
2026-04-20 02:06:00,9RV,0.08884,0.08884,0.08884,0.08884,0.08884,0.08884
2026-04-20 03:06:00,2RV,0.40545,0.40545,0.40545,0.40545,0.40545,0.40545
2026-04-20 03:06:00,3RV,0.47967,0.47967,0.47967,0.47967,0.47967,0.47967
2026-04-20 03:06:00,4RV,0.84231,0.84231,0.84231,0.84231,0.84231,0.84231
2026-04-20 03:06:00,9RV,0.08922,0.08922,0.08922,0.08922,0.08922,0.08922
2026-04-20 04:06:00,2RV,0.41364,0.41364,0.41364,0.41364,0.41364,0.41364
2026-04-20 04:06:00,3RV,0.47556,0.47556,0.47556,0.47556,0.47556,0.47556
2026-04-20 04:06:00,4RV,0.82399,0.82399,0.82399,0.82399,0.82399,0.82399
2026-04-20 04:06:00,9RV,0.08998,0.08998,0.08998,0.08998,0.08998,0.08998
2026-04-20 05:06:00,2RV,0.41298,0.41298,0.41298,0.41298,0.41298,0.41298
2026-04-20 05:06:00,3RV,0.45111,0.45111,0.45111,0.45111,0.45111,0.45111
2026-04-20 05:06:00,4RV,0.7633,0.7633,0.7633,0.7633,0.7633,0.7633
