DateTime,10RH-O,10RV-O,11RH-O,11RV-O,1RV-O,2RH-O,3RV-O,9RV-O
2026-04-20 18:19:00,0.15837,0.11509,0.06292,0.0874,0.80578,0.78669,0.55807,0.3124
2026-04-20 19:19:00,0.09489,0.10772,0.05692,0.06046,0.49856,0.34971,0.72296,0.28371
2026-04-20 20:19:00,0.09449,0.09689,0.05152,0.05765,0.52101,0.37333,0.72389,0.2918
2026-04-20 21:19:00,0.09736,0.11031,0.05761,0.06424,0.48821,0.32445,0.72969,0.28677
2026-04-20 22:19:00,0.09419,0.09588,0.05371,0.06577,0.49519,0.33078,0.72552,0.29238
2026-04-20 23:19:00,0.09011,0.09808,0.05247,0.05929,0.42395,0.27988,0.74836,0.29167
2026-04-21 00:19:00,0.08532,0.08784,0.04638,0.05927,0.41645,0.28642,0.73468,0.28747
2026-04-21 01:19:00,0.10086,0.09332,0.05349,0.06424,0.53854,0.38334,0.7087,0.27769
2026-04-21 02:19:00,0.09328,0.11113,0.05904,0.06245,0.4143,0.29547,0.7858,0.30313
2026-04-21 03:19:00,0.10443,0.09961,0.05913,0.06762,0.53696,0.36409,0.76338,0.30103
2026-04-21 04:19:00,0.09593,0.08841,0.04728,0.06652,0.50015,0.34027,0.71132,0.26864
2026-04-21 05:19:00,0.0878,0.07384,0.0413,0.06374,0.46871,0.29285,0.68339,0.27188
2026-04-21 06:19:00,0.09473,0.10098,0.05565,0.06605,0.4382,0.28908,0.77116,0.28754
2026-04-21 07:19:00,0.09393,0.09627,0.05883,0.0643,0.43237,0.28159,0.78253,0.30469
2026-04-21 08:19:00,0.0929,0.09597,0.05595,0.05999,0.43801,0.27777,0.76444,0.28515
2026-04-21 09:19:00,0.09248,0.08674,0.05629,0.06237,0.46191,0.28909,0.75219,0.28892
2026-04-21 10:19:00,0.09637,0.1046,0.06965,0.06204,0.47829,0.28647,0.76648,0.3058
2026-04-21 11:19:00,0.08809,0.12027,0.07053,0.05865,0.39585,0.26004,0.7626,0.30528
2026-04-21 12:19:00,0.10002,0.11748,0.07653,0.06812,0.47713,0.25962,0.76819,0.30641
2026-04-21 13:19:00,0.10918,0.12131,0.07301,0.06961,0.48886,0.30525,0.773,0.2977
2026-04-21 14:19:00,0.09723,0.1068,0.06278,0.0599,0.49387,0.34516,0.7749,0.29302
2026-04-21 15:19:00,0.09235,0.09109,0.0525,0.05743,0.50193,0.3825,0.7455,0.28135
2026-04-21 16:19:00,0.11011,0.07835,0.05234,0.07127,0.5991,0.43112,0.72893,0.28333
2026-04-21 17:19:00,0.10361,0.08839,0.06101,0.0632,0.53889,0.35451,0.7619,0.29273
2026-04-21 18:19:00,0.08748,0.10807,0.07187,0.06028,0.42131,0.27108,0.77985,0.3126
2026-04-21 19:19:00,0.09349,0.11018,0.0828,0.06235,0.42246,0.28414,0.75795,0.31135
2026-04-21 20:19:00,0.10238,0.10229,0.07502,0.06795,0.53702,0.30687,0.75696,0.29163
2026-04-21 21:19:00,0.10742,0.0893,0.0605,0.06803,0.57192,0.40345,0.75218,0.29327
2026-04-21 22:19:00,0.10867,0.08108,0.0527,0.06954,0.55837,0.38344,0.71789,0.27734
2026-04-21 23:19:00,0.10232,0.09688,0.06364,0.06447,0.53388,0.3402,0.76736,0.28926
2026-04-22 00:19:00,0.09566,0.12353,0.07236,0.06185,0.43528,0.28708,0.76908,0.30072
2026-04-22 01:19:00,0.10808,0.10353,0.07914,0.07069,0.50486,0.31356,0.75926,0.30994
2026-04-22 02:19:00,0.09481,0.11952,0.0808,0.06213,0.40777,0.27644,0.77524,0.30345
2026-04-22 03:19:00,0.08977,0.09653,0.0664,0.05915,0.42685,0.30635,0.76933,0.28685
2026-04-22 04:19:00,0.09516,0.08312,0.0541,0.06018,0.52583,0.38426,0.74579,0.28418
2026-04-22 05:19:00,0.0882,0.07504,0.05901,0.05944,0.45102,0.29408,0.73026,0.29222
2026-04-22 06:19:00,0.10366,0.08773,0.06285,0.06757,0.55452,0.37178,0.75859,0.2959
2026-04-22 07:19:00,0.09925,0.10056,0.05816,0.06279,0.51031,0.33423,0.76349,0.29317
2026-04-22 08:19:00,0.08924,0.09677,0.06538,0.06288,0.40997,0.29118,0.76954,0.30419
2026-04-22 09:19:00,0.09988,0.0904,0.05643,0.06235,0.53395,0.35765,0.75407,0.28583
2026-04-22 10:19:00,0.10363,0.11012,0.07461,0.06283,0.48302,0.30169,0.76337,0.31097
2026-04-22 11:19:00,0.10302,0.10523,0.06102,0.06407,0.52586,0.31871,0.76621,0.29748
2026-04-22 12:19:00,0.0936,0.1037,0.06428,0.05859,0.47598,0.28213,0.7683,0.29475
2026-04-22 13:19:00,0.09474,0.10032,0.07192,0.07092,0.44178,0.27677,0.75437,0.29428
