DateTime,Part-Name,acceleration,temperature,vibration,Part-T,Part-V,Part-O
2026-04-19 17:36:00,1RV,0.32168,0.32168,0.32168,0.32168,0.32168,0.32168
2026-04-19 17:36:00,2RV,0.16607,0.16607,0.16607,0.16607,0.16607,0.16607
2026-04-19 17:36:00,3RV,0.37224,0.37224,0.37224,0.37224,0.37224,0.37224
2026-04-19 18:36:00,1RV,0.33356,0.33356,0.33356,0.33356,0.33356,0.33356
2026-04-19 18:36:00,2RV,0.16776,0.16776,0.16776,0.16776,0.16776,0.16776
2026-04-19 18:36:00,3RV,0.40466,0.40466,0.40466,0.40466,0.40466,0.40466
2026-04-19 19:36:00,1RV,0.34105,0.34105,0.34105,0.34105,0.34105,0.34105
2026-04-19 19:36:00,2RV,0.16932,0.16932,0.16932,0.16932,0.16932,0.16932
2026-04-19 19:36:00,3RV,0.40988,0.40988,0.40988,0.40988,0.40988,0.40988
2026-04-19 20:36:00,1RV,0.34063,0.34063,0.34063,0.34063,0.34063,0.34063
2026-04-19 20:36:00,2RV,0.16935,0.16935,0.16935,0.16935,0.16935,0.16935
2026-04-19 20:36:00,3RV,0.52163,0.52163,0.52163,0.52163,0.52163,0.52163
2026-04-19 21:36:00,1RV,0.34433,0.34433,0.34433,0.34433,0.34433,0.34433
2026-04-19 21:36:00,2RV,0.17031,0.17031,0.17031,0.17031,0.17031,0.17031
2026-04-19 21:36:00,3RV,0.40073,0.40073,0.40073,0.40073,0.40073,0.40073
2026-04-19 22:36:00,1RV,0.37223,0.37223,0.37223,0.37223,0.37223,0.37223
2026-04-19 22:36:00,2RV,0.17039,0.17039,0.17039,0.17039,0.17039,0.17039
2026-04-19 22:36:00,3RV,0.46676,0.46676,0.46676,0.46676,0.46676,0.46676
2026-04-19 23:36:00,1RV,0.36185,0.36185,0.36185,0.36185,0.36185,0.36185
2026-04-19 23:36:00,2RV,0.17013,0.17013,0.17013,0.17013,0.17013,0.17013
2026-04-19 23:36:00,3RV,0.36394,0.36394,0.36394,0.36394,0.36394,0.36394
2026-04-20 00:36:00,1RV,0.36271,0.36271,0.36271,0.36271,0.36271,0.36271
2026-04-20 00:36:00,2RV,0.1701,0.1701,0.1701,0.1701,0.1701,0.1701
2026-04-20 00:36:00,3RV,0.36395,0.36395,0.36395,0.36395,0.36395,0.36395
2026-04-20 01:36:00,1RV,0.35986,0.35986,0.35986,0.35986,0.35986,0.35986
2026-04-20 01:36:00,2RV,0.17027,0.17027,0.17027,0.17027,0.17027,0.17027
2026-04-20 01:36:00,3RV,0.46042,0.46042,0.46042,0.46042,0.46042,0.46042
2026-04-20 02:36:00,1RV,0.35974,0.35974,0.35974,0.35974,0.35974,0.35974
2026-04-20 02:36:00,2RV,0.17078,0.17078,0.17078,0.17078,0.17078,0.17078
2026-04-20 02:36:00,3RV,0.46866,0.46866,0.46866,0.46866,0.46866,0.46866
2026-04-20 03:36:00,1RV,0.36089,0.36089,0.36089,0.36089,0.36089,0.36089
2026-04-20 03:36:00,2RV,0.17009,0.17009,0.17009,0.17009,0.17009,0.17009
2026-04-20 03:36:00,3RV,0.4311,0.4311,0.4311,0.4311,0.4311,0.4311
2026-04-20 04:36:00,1RV,0.37686,0.37686,0.37686,0.37686,0.37686,0.37686
2026-04-20 04:36:00,2RV,0.16996,0.16996,0.16996,0.16996,0.16996,0.16996
2026-04-20 04:36:00,3RV,0.43494,0.43494,0.43494,0.43494,0.43494,0.43494
2026-04-20 05:36:00,1RV,0.36323,0.36323,0.36323,0.36323,0.36323,0.36323
2026-04-20 05:36:00,2RV,0.17042,0.17042,0.17042,0.17042,0.17042,0.17042
2026-04-20 05:36:00,3RV,0.4345,0.4345,0.4345,0.4345,0.4345,0.4345
2026-04-20 06:36:00,1RV,0.37047,0.37047,0.37047,0.37047,0.37047,0.37047
2026-04-20 06:36:00,2RV,0.17034,0.17034,0.17034,0.17034,0.17034,0.17034
2026-04-20 06:36:00,3RV,0.35757,0.35757,0.35757,0.35757,0.35757,0.35757
2026-04-20 07:36:00,1RV,0.37342,0.37342,0.37342,0.37342,0.37342,0.37342
2026-04-20 07:36:00,2RV,0.17079,0.17079,0.17079,0.17079,0.17079,0.17079
2026-04-20 07:36:00,3RV,0.41539,0.41539,0.41539,0.41539,0.41539,0.41539
2026-04-20 08:36:00,1RV,0.38241,0.38241,0.38241,0.38241,0.38241,0.38241
2026-04-20 08:36:00,2RV,0.17067,0.17067,0.17067,0.17067,0.17067,0.17067
2026-04-20 08:36:00,3RV,0.37269,0.37269,0.37269,0.37269,0.37269,0.37269
2026-04-20 09:36:00,1RV,0.35045,0.35045,0.35045,0.35045,0.35045,0.35045
2026-04-20 09:36:00,2RV,0.16922,0.16922,0.16922,0.16922,0.16922,0.16922
2026-04-20 09:36:00,3RV,0.36667,0.36667,0.36667,0.36667,0.36667,0.36667
2026-04-20 10:36:00,1RV,0.34072,0.34072,0.34072,0.34072,0.34072,0.34072
2026-04-20 10:36:00,2RV,0.16723,0.16723,0.16723,0.16723,0.16723,0.16723
2026-04-20 10:36:00,3RV,0.38347,0.38347,0.38347,0.38347,0.38347,0.38347
