DateTime,10RH-V,11RH-V,1RV-V,2RH-V,3RV-V,5RV-V,7RV-V,9RV-V
2026-05-12 11:02:00,5.80674,130.38504,13.54427,9.58241,2.52689,2.70446,4.03499,3.41203
2026-05-12 12:02:00,5.02072,117.625427,13.56725,9.08234,2.76055,2.67341,4.10397,3.14454
2026-05-12 13:02:00,4.60718,51.52385,11.38693,8.16344,2.42111,2.65816,3.85881,2.95322
2026-05-12 14:02:00,4.54661,232.25882,11.42318,8.11368,2.48923,2.49815,3.58156,2.98407
2026-05-12 15:02:00,4.3948,60.78377,12.42451,8.48355,2.62122,2.53611,3.72655,2.99914
2026-05-12 16:02:00,5.09255,98.84346,12.47991,9.00592,2.55651,2.74024,3.81524,3.20866
2026-05-12 17:02:00,4.98842,196.5815,13.37552,8.83852,2.79555,2.69155,4.03699,3.18419
2026-05-12 18:02:00,5.55533,71.03194,13.03436,9.00054,2.51316,2.79277,4.2997,3.30758
2026-05-12 19:02:00,5.42238,139.581146,12.60434,9.03793,2.37748,2.72005,4.18827,3.30453
2026-05-12 20:02:00,5.37366,195.466782,12.7588,9.2,2.46652,2.72546,4.1362,3.30253
2026-05-12 21:02:00,4.88975,166.64679,13.65507,9.20516,2.83376,2.59675,3.78134,3.15285
2026-05-12 22:02:00,5.62937,93.0421,14.25164,9.97213,2.78748,2.76065,3.89493,3.3921
2026-05-12 23:02:00,5.3997,71.996,14.32556,10.06231,2.81057,2.82989,4.15991,3.39795
2026-05-13 00:02:00,6.21866,189.867569,14.26357,10.73824,2.51094,2.82383,4.21625,3.67668
2026-05-13 01:02:00,5.93198,42.31365,15.17422,10.65831,2.97954,2.98524,4.50352,3.6746
2026-05-13 02:02:00,5.97472,55.98792,15.28715,10.19184,3.19503,2.69464,4.20198,3.61008
2026-05-13 03:02:00,4.94336,451.013733,13.36654,9.536,2.68345,2.74502,3.85658,3.22416
2026-05-13 04:02:00,6.17563,81.31747,15.08149,10.7383,2.81259,2.99371,4.34361,3.68579
2026-05-13 05:02:00,5.46536,185.634888,13.79412,9.74075,2.67451,2.87242,4.33113,3.19872
2026-05-13 06:02:00,4.54158,121.906578,12.54587,9.17163,2.49399,2.73769,3.94052,2.94923
2026-05-13 07:02:00,4.54191,38.00537,12.83385,9.46701,2.52165,2.65349,3.69176,3.01527
2026-05-13 08:02:00,4.88411,117.903526,14.05578,9.77895,2.84977,2.77085,3.77241,3.22749
2026-05-13 09:02:00,5.5083,51.11919,14.0111,10.01617,2.75585,2.78881,3.92833,3.40127
2026-05-13 10:02:00,5.56632,18.63754,15.0173,10.41165,3.03729,2.93849,4.38508,3.39494
2026-05-13 11:02:00,4.85887,124.485283,14.02524,9.59458,2.8598,2.76239,4.15137,3.1534
2026-05-13 12:02:00,4.4746,139.506409,12.9821,8.89429,2.64411,2.66541,3.87568,2.99817
2026-05-13 13:02:00,5.49944,199.877182,14.02135,9.72195,2.9353,2.93563,4.18983,3.42877
2026-05-13 14:02:00,4.91268,79.54158,12.38209,8.75912,2.70054,2.8622,3.95446,3.02784
2026-05-13 15:02:00,4.81487,54.67424,12.33169,8.75871,2.53539,2.65739,3.80681,2.88829
2026-05-13 16:02:00,5.56365,142.81485,14.00588,9.56946,2.92458,2.67309,3.90834,3.30138
2026-05-13 17:02:00,5.40483,34.67727,13.89669,9.30919,3.4042,3.01523,4.47317,3.31934
2026-05-13 18:02:00,5.16288,107.332283,13.25805,9.21435,2.79403,2.79306,4.16557,3.26073
2026-05-13 19:02:00,4.66841,50.34547,12.69511,8.53787,2.99329,2.61634,3.87931,3.04447
2026-05-13 20:02:00,5.34515,97.54748,13.56906,9.4566,2.85599,2.85055,4.14627,3.34677
2026-05-13 21:02:00,5.09109,129.751755,14.59522,9.88646,3.11476,2.81616,4.17367,3.33433
2026-05-13 22:02:00,5.40549,227.821426,15.08223,10.26951,3.20712,2.74148,4.04503,3.2471
