"DateTime","7RV-O","8RV-O","1RV-O","2RV-O","2AX-O","3RV-O","6RV-O","Series 8"
"2025-11-06 21:42:00",4.26462,,,,,,,
"2025-11-06 21:42:00",4.26462,,,,,,,
"2025-11-06 22:42:00",4.12919,4.95445,1.1992,1.18412,1.50312,2.06748,3.66298,
"2025-11-06 23:42:00",4.08811,4.88854,1.12228,1.11548,1.35439,2.02706,3.54809,
"2025-11-06 23:42:00",,,,1.11548,,,,
"2025-11-07 00:42:00",4.18243,4.99533,1.21917,1.20507,1.48,2.04985,3.57486,
"2025-11-07 01:42:00",4.14074,5.05064,1.26946,1.20442,1.54619,2.05149,3.58286,
"2025-11-07 01:42:00",,,,,1.54619,,,
"2025-11-07 02:42:00",4.24823,5.06957,1.43207,1.27175,1.69019,2.13613,3.7505,
"2025-11-07 03:42:00",4.11423,4.97973,1.23693,1.14864,1.49305,2.04543,3.632,
"2025-11-07 04:42:00",4.14691,4.98045,1.43607,1.2478,1.7221,2.07282,3.5744,
"2025-11-07 05:42:00",3.83835,4.61342,1.34992,1.21175,1.63,2.0101,3.51135,
"2025-11-07 06:42:00",3.978,4.7654,1.30813,1.23608,1.59063,2.04172,3.44736,
"2025-11-07 06:42:00",3.978,,,,,,,
"2025-11-07 07:42:00",4.33784,5.18414,1.34356,1.27846,1.62619,2.12062,3.73162,
"2025-11-07 08:42:00",4.00008,4.86467,1.19317,1.24983,1.49488,2.04293,3.54462,
"2025-11-07 09:42:00",4.08207,4.99415,1.27992,1.23556,1.6031,2.05139,3.67133,
"2025-11-07 10:42:00",4.04596,4.80098,1.27358,1.25166,1.56048,2.08779,3.61789,
"2025-11-07 11:42:00",4.23666,5.09467,1.31644,1.2935,1.72065,2.10117,3.73387,
"2025-11-07 11:42:00",,,,,,,3.73387,
"2025-11-07 12:42:00",4.15132,4.90811,1.21257,1.20465,1.51515,2.1142,3.70166,
"2025-11-07 13:42:00",3.92075,4.69555,1.23128,1.19956,1.52054,2.10132,3.59747,
"2025-11-07 14:42:00",4.055,4.78637,1.29646,1.21729,1.62693,2.0775,3.56186,
"2025-11-07 14:42:00",,,,,,,3.56186,
"2025-11-07 15:42:00",4.16284,4.89772,1.31941,1.2492,1.62605,2.07213,3.75776,
"2025-11-07 15:42:00",,,1.31941,,,,,
"2025-11-07 16:42:00",4.146,4.88602,1.28645,1.2253,1.57011,2.0843,3.62168,
"2025-11-07 17:42:00",4.28358,5.1868,1.35337,1.29212,1.69471,2.16628,3.88522,
"2025-11-07 18:42:00",4.01433,4.81263,1.2856,1.18926,1.56216,2.09299,3.63212,
"2025-11-07 19:42:00",4.19693,5.0814,1.27979,1.23858,1.59364,2.08793,3.68767,
"2025-11-07 19:42:00",4.19693,,,,,,,
"2025-11-07 20:42:00",4.07168,4.92024,1.27101,1.22318,1.56906,2.05715,3.57536,
"2025-11-07 21:42:00",4.09747,4.86823,1.36946,1.24798,1.69878,2.16297,3.72883,
"2025-11-07 21:42:00",4.09747,,,,,,3.72883,
"2025-11-07 22:42:00",4.34951,5.20086,1.26438,1.22879,1.54985,2.15494,3.71695,
"2025-11-07 23:42:00",4.09227,4.83056,1.31657,1.22806,1.62582,1.98589,3.5655,
"2025-11-08 00:42:00",4.26121,5.05202,1.31288,1.26025,1.64264,2.12019,3.79013,
"2025-11-08 01:42:00",3.99681,4.75739,1.17135,1.14537,1.42136,1.95829,3.58382,
"2025-11-08 02:42:00",4.09313,4.90846,1.24502,1.17042,1.5248,2.02205,3.69575,
"2025-11-08 03:42:00",4.21534,4.96049,1.33899,1.30573,1.6459,2.14931,3.67922,
"2025-11-08 04:42:00",4.22236,5.14922,1.30681,1.29715,1.62111,2.12232,3.77277,
"2025-11-08 04:42:00",,,,,,,3.77277,
"2025-11-08 05:42:00",4.10094,4.87434,1.32922,1.25573,1.66147,2.13856,3.75678,
"2025-11-08 05:42:00",4.10094,,,,,,,
"2025-11-08 06:42:00",4.22236,5.07451,1.25902,1.21939,1.54681,2.08831,3.64662,
"2025-11-08 06:42:00",,,,1.21939,,2.08831,,
"2025-11-08 07:42:00",4.2606,5.06913,1.31331,1.28556,1.62343,2.04313,3.78269,
"2025-11-08 08:42:00",4.19309,4.96243,1.33026,1.27802,1.64975,2.07708,3.75238,
"2025-11-08 08:42:00",4.19309,,,,,2.07708,,
"2025-11-08 09:42:00",4.06345,4.87076,1.29946,1.24164,1.6085,2.07261,3.54358,
"2025-11-08 10:42:00",3.96464,4.87773,1.23688,1.25037,1.56327,2.05543,3.45921,
"2025-11-08 10:42:00",,,,1.25037,,,,
"2025-11-08 11:42:00",4.05164,4.87074,1.20443,1.19098,1.52201,2.04911,3.61329,
"2025-11-08 12:42:00",4.18376,5.1034,1.28603,1.25256,1.57136,2.06861,3.82354,
"2025-11-08 13:42:00",4.06594,5.00164,1.21319,1.18637,1.50799,2.02303,3.57264,
"2025-11-08 14:42:00",4.09614,4.79748,1.26756,1.18578,1.54442,2.04637,3.72131,
"2025-11-08 15:42:00",4.21942,4.96264,1.32708,1.27515,1.6122,2.12695,3.71645,
"2025-11-08 15:42:00",,,1.32708,,,,,
"2025-11-08 16:42:00",4.15503,5.0969,1.31952,1.2504,1.57761,2.12114,3.76067,
"2025-11-08 17:42:00",4.18554,4.82887,1.2501,1.25286,1.48309,2.12327,3.73344,
"2025-11-08 17:42:00",,,1.2501,,,,,
"2025-11-08 18:42:00",4.30845,5.0895,1.32737,1.26203,1.62599,2.13691,3.66488,
"2025-11-08 18:42:00",,,,1.26203,,,,
"2025-11-08 19:42:00",4.20251,4.89177,1.34936,1.24068,1.66483,2.13772,3.69651,
"2025-11-08 20:42:00",4.24442,5.06541,1.3002,1.29083,1.56538,2.17212,3.64886,
"2025-11-08 20:42:00",4.24442,,,,,,,
"2025-11-08 21:42:00",4.1905,4.91682,1.29078,1.20856,1.56851,2.15822,3.75911,
"2025-11-08 22:42:00",4.13774,4.98049,1.2446,1.16924,1.51202,2.04468,3.68268,
"2025-11-08 22:42:00",,,1.2446,,,,,
"2025-11-08 23:42:00",4.2866,5.17769,1.26331,1.24097,1.57044,2.14313,3.67136,
"2025-11-08 23:42:00",4.2866,,,,,,,
"2025-11-09 00:42:00",4.20661,5.00879,1.2456,1.25523,1.53431,2.02825,3.64733,
"2025-11-09 00:42:00",,,,,1.53431,,,
"2025-11-09 01:42:00",3.91178,4.67805,1.2027,1.14078,1.4743,2.01473,3.54573,
