DateTime,10RH-T,10RV-T,11RH-T,11RV-T,1RV-T,2RH-T,5RV-T,9RV-T
2026-05-01 11:04:00,0.14495,0.22473,0.18289,0.15986,0.19898,0.23097,0.36736,0.11761
2026-05-01 12:04:00,0.12278,0.1792,0.15617,0.1342,0.1963,0.22669,0.3713,0.12698
2026-05-01 13:04:00,0.16955,0.26108,0.19521,0.15497,0.18685,0.20747,0.39142,0.13719
2026-05-01 14:04:00,0.17675,0.2913,0.19057,0.14896,0.18859,0.19967,0.38857,0.13562
2026-05-01 15:04:00,0.15185,0.25524,0.22143,0.18961,0.18826,0.2104,0.37316,0.12088
2026-05-01 16:04:00,0.12544,0.21166,0.1686,0.14701,0.19468,0.23156,0.36468,0.11287
2026-05-01 17:04:00,0.14811,0.24741,0.18976,0.15112,0.19379,0.22497,0.3781,0.1193
2026-05-01 18:04:00,0.14379,0.2283,0.19689,0.16448,0.19816,0.23341,0.36853,0.11462
2026-05-01 19:04:00,0.17469,0.26308,0.19722,0.16351,0.1978,0.22526,0.38446,0.13359
2026-05-01 20:04:00,0.14355,0.226,0.22111,0.1749,0.19589,0.21968,0.37728,0.12744
2026-05-01 21:04:00,0.16654,0.28747,0.2345,0.19172,0.18962,0.22216,0.37065,0.12223
2026-05-01 22:04:00,0.14484,0.20737,0.16622,0.14838,0.19079,0.22964,0.36799,0.11307
2026-05-01 23:04:00,0.17636,0.29338,0.22674,0.18023,0.19767,0.22713,0.37579,0.12955
2026-05-02 00:04:00,0.15653,0.24315,0.22548,0.18037,0.18682,0.211,0.38338,0.13975
2026-05-02 01:04:00,0.1617,0.24476,0.17751,0.14343,0.18863,0.20671,0.38267,0.13916
2026-05-02 02:04:00,0.11582,0.19844,0.19135,0.15486,0.18651,0.2098,0.36746,0.12094
2026-05-02 03:04:00,0.16699,0.2647,0.24768,0.20797,0.18874,0.22386,0.37041,0.12091
2026-05-02 04:04:00,0.14401,0.22482,0.17445,0.14246,0.18831,0.21965,0.37942,0.12447
