DateTime,1RV-O-T,2AX-O-T,2RV-O-T,3RV-O-T,6RV-O-T,7RV-O-T,8RV-O-T
2026-05-02 19:42:00,0.3331,0.79465,0.49654,0.98457,1.32693,1.17862,1.18347
2026-05-02 20:42:00,0.32406,0.81088,0.47993,0.98341,1.34473,1.28585,1.27976
2026-05-02 21:42:00,0.32752,0.84251,0.50187,0.99409,1.30612,1.14763,1.14375
2026-05-02 22:42:00,0.32897,0.79074,0.48049,0.97717,1.31055,1.16273,1.14725
2026-05-02 23:42:00,0.32647,0.81063,0.4932,0.98939,1.34206,1.06616,1.10451
2026-05-03 00:42:00,0.33729,0.82206,0.55206,0.99652,1.34877,1.15703,1.20276
2026-05-03 01:42:00,0.3382,0.81903,0.52577,0.99232,1.30534,1.14523,1.13432
2026-05-03 02:42:00,0.34737,0.82791,0.55381,0.98558,1.31389,1.08915,1.10801
2026-05-03 03:42:00,0.34251,0.82877,0.58219,0.99271,1.31454,1.16292,1.13381
2026-05-03 04:42:00,0.33821,0.80118,0.5303,0.98349,1.33956,1.10075,1.12363
2026-05-03 05:42:00,0.34568,0.9273,0.59964,0.99916,1.30162,1.21838,1.20527
2026-05-03 06:42:00,0.33982,0.98875,0.59369,0.98293,1.31157,1.25549,1.25184
2026-05-03 07:42:00,0.33874,1.04291,0.63348,0.97262,1.28902,1.23843,1.24268
2026-05-03 08:42:00,0.33481,0.96019,0.54051,0.98319,1.31242,1.25018,1.27672
2026-05-03 09:42:00,0.33836,0.91779,0.48397,0.99812,1.31575,1.12893,1.12404
2026-05-03 10:42:00,0.33038,0.90868,0.52609,0.99079,1.33152,1.15272,1.1463
2026-05-03 11:42:00,0.33057,0.95846,0.53549,0.99837,1.30246,1.13034,1.137
2026-05-03 12:42:00,0.32859,1.02854,0.56529,0.97602,1.3181,1.13363,1.12094
2026-05-03 13:42:00,0.31989,0.94358,0.54414,0.99456,1.34239,1.10544,1.09906
2026-05-03 14:42:00,0.33709,0.99488,0.57636,0.9947,1.30137,1.09506,1.11799
2026-05-03 15:42:00,0.33774,1.06076,0.5453,1.00385,1.30549,1.13557,1.13629
2026-05-03 16:42:00,0.34198,1.0957,0.61393,0.99092,1.30468,1.28846,1.31508
2026-05-03 17:42:00,0.33797,1.08853,0.59502,1.00771,1.33688,1.22111,1.21055
2026-05-03 18:42:00,0.34862,1.07209,0.60466,0.99925,1.31298,1.25145,1.23671
2026-05-03 19:42:00,0.34726,1.05312,0.62595,0.99502,1.32384,1.28145,1.28691
2026-05-03 20:42:00,0.33683,1.06639,0.6314,0.98153,1.32608,1.23095,1.22767
2026-05-03 21:42:00,0.342,1.05842,0.62862,0.99607,1.32864,1.06571,1.08748
2026-05-03 22:42:00,0.34006,1.07876,0.62994,0.99917,1.33012,1.16975,1.17193
2026-05-03 23:42:00,0.34058,1.06465,0.68836,0.98305,1.314,1.13766,1.15127
2026-05-04 00:42:00,0.34221,1.06792,0.62048,0.99439,1.33564,1.05808,1.04131
2026-05-04 01:42:00,0.34307,1.05402,0.60851,0.9882,1.31574,1.26663,1.24001
2026-05-04 02:42:00,0.34141,1.06397,0.6457,0.9935,1.31975,1.07758,1.08763
2026-05-04 03:42:00,0.35402,1.03175,0.64531,0.99532,1.29615,1.05664,1.093
2026-05-04 04:42:00,0.34888,1.05027,0.62149,0.99903,1.33727,1.14394,1.14289
2026-05-04 05:42:00,0.35931,1.04787,0.64897,0.96562,1.33444,1.09844,1.1249
2026-05-04 06:42:00,0.35733,1.0505,0.63809,0.96708,1.32135,1.1242,1.1405
2026-05-04 07:42:00,0.34831,1.02077,0.63515,0.98264,1.28416,1.13803,1.13933
2026-05-04 08:42:00,0.34632,1.00365,0.59436,0.98842,1.34448,1.39148,1.33632
2026-05-04 09:42:00,0.34117,0.99227,0.58287,0.98072,1.2863,1.29265,1.29816
