"DateTime","9RV","10RV","1RV","2RH","3RV","4RV","7RV","8RV"
"2025-11-06 23:54:00",1.76193,1.56405,1.13093,1.35629,1.24248,1.4834,0.89287,0.89287
"2025-11-06 23:54:00",,,1.13093,,,,,
"2025-11-07 00:54:00",1.62349,1.43157,1.04408,1.45693,1.14933,1.37613,0.83094,0.83094
"2025-11-07 01:54:00",1.7438,1.54465,1.1087,1.37414,1.22014,1.46195,0.86967,0.86967
"2025-11-07 01:54:00",,,,,,1.46195,,
"2025-11-07 02:54:00",1.70384,1.50381,1.09188,1.4284,1.18892,1.4312,0.87259,0.87259
"2025-11-07 03:54:00",1.71125,1.51132,1.11179,1.373,1.20982,1.43984,0.87385,0.87385
"2025-11-07 04:54:00",1.68895,1.47813,1.05842,1.33757,1.15603,1.40503,0.81795,0.81795
"2025-11-07 05:54:00",1.70289,1.50563,1.10006,1.38463,1.21564,1.44227,0.86543,0.86543
"2025-11-07 06:54:00",1.68898,1.49237,1.08258,1.33002,1.19067,1.42109,0.8643,0.8643
"2025-11-07 07:54:00",1.73689,1.53435,1.1099,1.37729,1.22422,1.46036,0.87158,0.87158
"2025-11-07 08:54:00",1.75304,1.54728,1.11804,1.39545,1.23105,1.46945,0.88168,0.88168
"2025-11-07 08:54:00",,,,1.39545,,,,
"2025-11-07 09:54:00",1.72478,1.52318,1.10632,1.3657,1.21846,1.4538,0.86854,0.86854
"2025-11-07 10:54:00",1.75843,1.55367,1.11013,1.32529,1.23144,1.48028,0.87353,0.87353
"2025-11-07 11:54:00",1.68323,1.4892,1.07436,1.28643,1.17759,1.41458,0.84537,0.84537
"2025-11-07 12:54:00",1.67189,1.462,1.05073,1.32166,1.15154,1.39858,0.81641,0.81641
"2025-11-07 12:54:00",,,,,,,,0.81641
"2025-11-07 13:54:00",1.70333,1.50222,1.0731,1.35325,1.18479,1.43549,0.8385,0.8385
"2025-11-07 14:54:00",1.77006,1.56497,1.12115,1.32065,1.2401,1.48894,0.87131,0.87131
"2025-11-07 15:54:00",1.684,1.49156,1.07028,1.32007,1.18645,1.42437,0.84429,0.84429
"2025-11-07 16:54:00",1.71282,1.51493,1.094,1.29397,1.19314,1.44753,0.84804,0.84804
