"DateTime","9RV","10RV","7RV","8RV","1RV","2RH","3RV","4RV"
"2025-12-12 10:52:00",1.89604,2.53157,2.09517,2.1205,1.56096,1.68562,1.69047,1.63569
"2025-12-12 11:52:00",2.18452,2.66494,2.15536,2.04908,1.63235,1.74927,1.70784,1.72594
"2025-12-12 12:52:00",2.13622,2.63399,2.13136,2.11224,1.6141,1.70194,1.7084,1.66947
"2025-12-12 13:52:00",1.97925,2.35865,2.04144,2.07655,1.56316,1.67047,1.70481,1.62512
"2025-12-12 14:52:00",2.10109,2.42303,2.0701,2.10199,1.57594,1.66682,1.69111,1.62519
"2025-12-12 15:52:00",2.0056,2.31923,2.07026,2.04839,1.50522,1.65616,1.70583,1.65995
"2025-12-12 16:52:00",2.11959,2.49524,2.12741,2.10782,1.55875,1.68798,1.70597,1.68486
"2025-12-12 17:52:00",2.14583,2.38191,2.09777,2.03371,1.6143,1.75787,1.74014,1.7137
"2025-12-12 18:52:00",2.13176,2.39233,2.13726,1.96318,1.62922,1.8052,1.75876,1.79875
"2025-12-12 19:52:00",0.13381,0.14787,0.17287,0.17272,0.20495,0.19295,0.17076,0.16516
"2025-12-12 20:52:00",1.5199,1.88353,1.94949,2.16193,1.35566,1.41688,1.70933,1.57428
"2025-12-12 21:52:00",1.59667,1.92201,1.97359,2.09863,1.39633,1.46042,1.70519,1.59283
"2025-12-12 22:52:00",1.65403,1.88454,2.05636,2.3002,1.42956,1.47547,1.77745,1.61041
"2025-12-12 23:52:00",1.63785,1.87433,2.04766,2.28357,1.39134,1.46931,1.76003,1.61766
"2025-12-13 00:52:00",1.68083,1.82918,1.98446,2.15004,1.33353,1.4063,1.6963,1.58127
"2025-12-13 01:52:00",1.72403,1.96694,1.93089,1.86733,1.30143,1.43607,1.66978,1.63195
"2025-12-13 02:52:00",1.77644,2.00094,1.89336,1.77783,1.33164,1.48203,1.74868,1.69542
"2025-12-13 03:52:00",1.75004,1.87042,2.03321,2.12741,1.35568,1.42695,1.6867,1.61037
"2025-12-13 04:52:00",1.81242,1.83634,2.0091,2.06216,1.36377,1.43219,1.671,1.62208
"2025-12-13 05:52:00",1.84676,1.96813,1.92608,1.77158,1.34682,1.52164,1.75895,1.73984
"2025-12-13 06:52:00",1.8024,1.94075,1.99164,2.00475,1.35721,1.44892,1.70909,1.63027
"2025-12-13 07:52:00",1.75191,1.90506,1.99685,2.05538,1.37509,1.45633,1.7182,1.61371
